participant,level,obj,x,y,success
5dfedfbb557425b599c8c523,Basic_1,440.6,104.4,obj2,0
5dfedfbb557425b599c8c523,Basic_1,389.6,171.4,obj3,0
5dfedfbb557425b599c8c523,Basic_1,412.6,180.4,obj1,0
5dfedfbb557425b599c8c523,Basic_1,394.6,203.4,obj3,0
5dfedfbb557425b599c8c523,Basic_1,407.6,183.4,obj1,0
5dfedfbb557425b599c8c523,Basic_1,553.6,52.4,obj3,0
5dfedfbb557425b599c8c523,Basic_1,190.6,217.4,obj2,1
5dfedfbb557425b599c8c523,Basic_2,400.6,238.4,obj2,0
5dfedfbb557425b599c8c523,Basic_2,403.6,232.4,obj3,1
5dfedfbb557425b599c8c523,Comp_GapCatapult,138.6,422.4,obj1,0
5dfedfbb557425b599c8c523,Comp_GapCatapult,151.6,435.4,obj3,0
5dfedfbb557425b599c8c523,Comp_GapCatapult,150.6,419.4,obj2,1
5dfedfbb557425b599c8c523,Comp_SoCloseLaunch,271.6,296.4,obj3,0
5dfedfbb557425b599c8c523,Comp_SoCloseLaunch,265.6,268.4,obj3,1
5dfedfbb557425b599c8c523,Comp_UnboxSlope,452.6,322.4,obj1,0
5dfedfbb557425b599c8c523,Comp_UnboxSlope,361.6,324.4,obj1,0
5dfedfbb557425b599c8c523,Comp_UnboxSlope,284.6,433.4,obj1,0
5dfedfbb557425b599c8c523,Mech_Launch_v2_0,81.6,270.4,obj1,0
5dfedfbb557425b599c8c523,Mech_Launch_v2_0,314.6,287.4,obj3,0
5dfedfbb557425b599c8c523,Mech_Launch_v2_0,109.6,293.4,obj2,0
5dfedfbb557425b599c8c523,Mech_Launch_v2_1,137.6,238.4,obj2,1
5dfedfbb557425b599c8c523,Mech_Launch_v2_2,525.6,474.4,obj2,1
5dfedfbb557425b599c8c523,Mech_Launch_v2_3,222.6,290.4,obj3,1
5dfedfbb557425b599c8c523,Mech_Launch_v2_4,470.6,307.4,obj1,0
5dfedfbb557425b599c8c523,Mech_Launch_v2_4,315.6,207.4,obj3,0
5dfedfbb557425b599c8c523,Mech_Launch_v2_4,382.6,288.4,obj2,0
5dfedfbb557425b599c8c523,Mech_SoClose_0,57.6,484.4,obj3,1
5dfedfbb557425b599c8c523,Mech_SoClose_1,473.6,359.4,obj2,1
5dfedfbb557425b599c8c523,Mech_SoClose_2,169.6,454.4,obj1,1
5dfedfbb557425b599c8c523,Mech_SoClose_3,172.6,335.4,obj1,1
5dfedfbb557425b599c8c523,Mech_SoClose_4,467.6,369.4,obj3,0
5dfedfbb557425b599c8c523,Mech_SoClose_4,230.6,544.4,obj1,0
5dfedfbb557425b599c8c523,Mech_SoClose_4,469.6,377.4,obj1,1
5dfedfbb557425b599c8c523,Playground,524.6,519.4,obj3,0
5dfedfbb557425b599c8c523,Playground,48.6,452.4,obj1,0
5dfedfbb557425b599c8c523,Playground,525.6,545.4,obj1,0
5f47e34858dd331165bf9f00,Basic_1,189.0,342.0,obj1,1
5f47e34858dd331165bf9f00,Basic_2,402.0,233.0,obj3,1
5f47e34858dd331165bf9f00,Comp_GapCatapult,359.0,569.0,obj2,0
5f47e34858dd331165bf9f00,Comp_GapCatapult,467.0,578.0,obj1,0
5f47e34858dd331165bf9f00,Comp_GapCatapult,141.0,432.0,obj2,1
5f47e34858dd331165bf9f00,Comp_SoCloseLaunch,165.0,298.0,obj3,0
5f47e34858dd331165bf9f00,Comp_SoCloseLaunch,292.0,586.0,obj2,0
5f47e34858dd331165bf9f00,Comp_SoCloseLaunch,232.0,276.0,obj1,0
5f47e34858dd331165bf9f00,Comp_UnboxSlope,262.0,412.0,obj1,0
5f47e34858dd331165bf9f00,Comp_UnboxSlope,313.0,404.0,obj2,1
5f47e34858dd331165bf9f00,Mech_Launch_v2_0,78.0,570.0,obj1,1
5f47e34858dd331165bf9f00,Mech_Launch_v2_1,131.0,573.0,obj3,1
5f47e34858dd331165bf9f00,Mech_Launch_v2_2,535.0,577.0,obj2,0
5f47e34858dd331165bf9f00,Mech_Launch_v2_2,545.0,571.0,obj1,1
5f47e34858dd331165bf9f00,Mech_Launch_v2_3,132.0,573.0,obj1,1
5f47e34858dd331165bf9f00,Mech_Launch_v2_4,483.0,570.0,obj1,0
5f47e34858dd331165bf9f00,Mech_Launch_v2_4,490.0,557.0,obj3,1
5f47e34858dd331165bf9f00,Mech_SoClose_0,47.0,493.0,obj1,0
5f47e34858dd331165bf9f00,Mech_SoClose_0,45.0,505.0,obj3,1
5f47e34858dd331165bf9f00,Mech_SoClose_1,476.0,386.0,obj3,1
5f47e34858dd331165bf9f00,Mech_SoClose_2,136.0,471.0,obj3,1
5f47e34858dd331165bf9f00,Mech_SoClose_3,167.0,348.0,obj1,1
5f47e34858dd331165bf9f00,Mech_SoClose_4,482.0,382.0,obj2,1
5f47e34858dd331165bf9f00,Playground,425.0,517.0,obj1,0
5f47e34858dd331165bf9f00,Playground,572.0,385.0,obj2,0
5f47e34858dd331165bf9f00,Playground,562.0,470.0,obj3,0
5f47e34858dd331165bf9f00,Playground,520.0,190.0,obj3,0
5f47e34858dd331165bf9f00,Playground,352.0,553.0,obj1,0
6693df690cbd52bc4cbf870d,Basic_1,380.0,187.0,obj2,0
6693df690cbd52bc4cbf870d,Basic_1,479.0,91.0,obj3,0
6693df690cbd52bc4cbf870d,Basic_1,480.0,103.0,obj2,0
6693df690cbd52bc4cbf870d,Basic_1,384.0,188.0,obj1,0
6693df690cbd52bc4cbf870d,Basic_1,441.0,175.0,obj3,0
6693df690cbd52bc4cbf870d,Basic_1,429.0,180.0,obj2,0
6693df690cbd52bc4cbf870d,Basic_1,217.0,212.0,obj1,0
6693df690cbd52bc4cbf870d,Basic_1,125.0,187.0,obj1,0
